原字段	en	ja	ar	de	es	fr	pt	th	vi	zh-TW
Featured on every travel channel for managing to relax completely on holiday without checking work emailseven once.	Featured on every travel channel for managing to relax completely on holiday without checking work emailseven once.	休日に仕事のメールを一度もチェックせずに完全にリラックスできたことで、すべての旅行チャンネルで特集されました。	ظهرت على كل قناة السفر لإدارة للاسترخاء تماما في عطلة دون التحقق من العمل emailseven مرة واحدة.	Wird auf jedem Reisekanal angezeigt, damit Sie sich im Urlaub völlig entspannen können, ohne die Arbeits-E-Mail sieben einmal abrufen zu müssen.	Destacado en todos los canales de viajes por lograr relajarse por completo en vacaciones sin revisar el correo electrónico de trabajo siete una vez.	Présenté sur tous les canaux de voyage pour réussir à se détendre complètement en vacances sans vérifier une fois les e-mails professionnels.	Destaque em todos os canais de viagens para conseguir relaxar completamente nas férias sem verificar o trabalho e-mailsete uma vez.	โดดเด่นในทุกช่องทางการเดินทางสำหรับการจัดการเพื่อผ่อนคลายอย่างสมบูรณ์ในวันหยุดโดยไม่ต้องตรวจสอบอีเมลที่ทำงานหนึ่งครั้ง	Nổi bật trên mọi kênh du lịch để quản lý để thư giãn hoàn toàn  kỳ nghỉ mà không cần kiểm tra email công việc một lần.	每個旅遊頻道都有特色，無需查看工作電子郵件即可在假期中完全放鬆。
Darkness fades — a long-kept wish will finally begin to take shape.	Darkness fades — a long-kept wish will finally begin to take shape.	暗闇が薄れていく-長年の願いがついに形を成し始める。	يتلاشى الظلام - ستبدأ الرغبة التي طال أمدها في التبلور أخيرًا.	Die Dunkelheit verblasst - ein lang gehegter Wunsch wird endlich Gestalt annehmen.	La oscuridad se desvanece: un deseo mantenido durante mucho tiempo finalmente comenzará a tomar forma.	L'obscurité s'estompe - un souhait longtemps gardé va enfin commencer à prendre forme.	A escuridão desaparece e um desejo prolongado finalmente começará a tomar forma.	ความมืดจางหายไป - ความปรารถนาที่มีมาช้านานจะเริ่มเป็นปเป็นร่างในที่สุด	Bóng tối mờ dần - một điều ước được lưu giữ từ lâu cuối cùng sẽ bắt đầu thành hình.	黑暗消退——一個長期保持的願望最終將開始成形。
The Moon’s Blessing: your emotions become your magic, turning love, pain, and longing into creation.	The Moon’s Blessing: your emotions become your magic, turning love, pain, and longing into creation.	月の祝福:あなたの感情はあなたの魔法になり、愛、痛み、そして切望を創造に変えます。	نعمة القمر: تصبح عواطفك سحرك ، وتحول الحب والألم والشوق إلى خلق.	Der Segen des Mondes: Ihre Emotionen werden zu Ihrer Magie und verwandeln Liebe, Schmerz und Sehnsucht in Schöpfung.	La Bendición de la Luna: tus emociones se convierten en tu magia, convirtiendo el amor, el dolor y el anhelo en creación.	La bénédiction de la Lune : vos émotions deviennent votre magie, transformant l'amour, la douleur et le désir en création.	A Bênção da Lua: suas emoções se tornam sua magia, transformando amor, dor e saudade em criação.	พรของดวงจันทร์: อารมณ์ของคุณกลายเป็นเวทมนตร์ เปลี่ยนความรัก ความเจ็บปวด และความปรารถนาในการสร้าง	Phước lành của Mặt trăng: cảm xúc của bạn trở thành phép thuật của bạn, biến tình yêu, nỗi đau và khao khát thành sự sáng tạo.	月亮的祝福：你的情感變成了你的魔法，把愛、痛苦和渴望變成了創造。
Witch’s Forbidden Kiss	Witch’s Forbidden Kiss	魔女の禁断のキス	قبلة الساحرة المحرمة	Verbotener Kuss der Hexe	Beso Prohibido De La Bruja	Le baiser interdit de la sorcière	Beijo Proibido Da Bruxa	จูบต้องห้ามของแม่มด	Nụ hôn bị cấm của phù thủy	女巫的禁忌之吻
I'm a Zombie	I'm a Zombie	私はゾンビです	انا زومبي	Ich bin ein Zombie	Soy un zombi	Je suis un zombie	Eu sou um zumbi	ฉันเป็นซอมบี้	Tôi là một thây ma	我是殭屍
Chocolate Skull:bold and mysterious, you hide passion behind calm eyes and a fearless smile.	Chocolate Skull:bold and mysterious, you hide passion behind calm eyes and a fearless smile.	チョコレートスカル:大胆で神秘的なあなたは、穏やかな目と恐れを知らない笑顔の裏に情熱を隠しています。	جمجمة الشوكولاتة: جريئة وغامضة ، تخفي شغفك خلف عيون هادئة وابتسامة شجاعة.	Schokoladenschädel: Kühn und geheimnisvoll verstecken Sie Ihre Leidenschaft hinter ruhigen Augen und einem furchtlosen Lächeln.	Calavera de Chocolate: audaz y misteriosa, escondes la pasión detrás de ojos tranquilos y una sonrisa intrépida.	Crâne en chocolat : audacieux et mystérieux, vous cachez votre passion derrière des yeux calmes et un sourire intrépide.	Crânio de Chocolate: ousado e misterioso, você esconde a paixão atrás de olhos calmos e um sorriso destemido.	กะโหลกช็อคโกแลต: กล้าหาญและลึกลับ คุณซ่อนความหลงใหลไว้เบื้องหลังดวงตาที่สงบและรอยที่กล้าหาญ	Hộp sọ sô cô la: táo bạo và bí ẩn, bạn che giấu niềm đam mê đằng sau đôi mắt điềm tĩnh và nụ cười không sợ hãi.	巧克力骷髏：大膽而神祕，你平靜的眼睛和無畏的微笑背後隱藏着激情。
Witch’s Trick:beware of temptation; not everything sweet is meant for you.	Witch’s Trick:beware of temptation; not everything sweet is meant for you.	魔女のトリック:誘惑に注意してください。すべての甘いものがあなたのために意図されているわけではありません。	خدعة الساحرة: احذر من الإغراء ؛ ليس كل شيء حلو مخصص لك.	Hexentrick: Hüte dich vor der Versuchung; nicht alles Süße ist für dich bestimmt.	Truco de bruja: cuidado con la tentación; no todo lo dulce es para ti.	Truc de sorcière : méfiez-vous de la tentation ; tout ce qui est sucré n'est pas fait pour vous.	Truque da Bruxa: cuidado com a tentação; nem tudo doce é feito para você.	เคล็ดลับของแม่มด: ระวังสิ่งล่อใจ ไม่ใช่ทุกสิ่งที่หวานมีไว้สำหรับคุณ	Witch 's Trick: hãy cẩn thận với sự cám dỗ; không phải mọi thứ ngọt ngào đều dành cho bạn.	女巫的詭計：當心誘惑；不是所有甜蜜的東西都是給你的。
The ghosts of your past don’t haunt you.They guide you toward who you’re meant to become.	The ghosts of your past don’t haunt you.They guide you toward who you’re meant to become.	あなたの過去の幽霊はあなたを追いかけるわけではありません。彼らはあなたがなるべき人物に導きます。	أشباح ماضيك لا تطاردك ، إنها ترشدك نحو ما من المفترض أن تصبح عليه.	Die Geister deiner Vergangenheit verfolgen dich nicht, sie führen dich zu dem, was du werden sollst.	Los fantasmas de tu pasado no te persiguen. Te guían hacia quien estás destinado a convertirte.	Les fantômes de votre passé ne vous hantent pas, ils vous guident vers qui vous êtes censé devenir.	Os fantasmas do seu passado não o assombram. Eles o guiam em direção a quem você deveria se tornar.	ผีในอดีตของคุณไม่ได้หลอกหลอนคุณ พวกมันนำทางคุณไปสู่สิ่งที่คุณตั้งใจจะเป็น	Những bóng ma trong quá khứ của bạn không ám ảnh bạn. Chúng hướng dẫn bạn về con người mà bạn muốn trở thành.	你過去的幽靈不會困擾你。他們引導你走向你註定要成爲的人。
LONG-TERM VISION	LONG-TERM VISION	長期ビジョン	رؤية طويلة الأجل	LANGFRISTIGE VISION	VISIÓN A LARGO PLAZO	VISION À LONG TERME	VISÃO DE LONGO PRAZO	การมองเห็นระยะยาว	TẦM NHÌN DÀI HẠN	長期願景
Your internal energy tank will always be full, banishing fatigue and procrastination.	Your internal energy tank will always be full, banishing fatigue and procrastination.	あなたの内部エネルギータンクは常に満杯で、疲れや先延ばしを追い払います。	سيكون خزان الطاقة الداخلي الخاص بك ممتلئًا دائمًا ، مما يؤدي إلى التخلص من التعب والمماطلة.	Ihr innerer Energietank wird immer voll sein und Müdigkeit und Zaudern vertreiben.	Su tanque de energía interno siempre estará lleno, desterrando la fatiga y la procrastinación.	Votre réservoir d'énergie interne sera toujours plein, bannissant la fatigue et la procrastination.	Seu tanque interno de energia estará sempre cheio, banindo o cansaço e a procrastinação.	ถังพลังงานภายในของคุณจะเต็มเสมอ ขจัดความเหนื่อยล้าและการผัดวันประกันพรุ่ง	Bình năng lượng bên trong của bạn sẽ luôn , xua đuổi sự mệt mỏi và trì hoãn.	你的內在能量罐將永遠充滿，消除疲勞和拖延。
Your hard work will bring unexpected rewards.	Your hard work will bring unexpected rewards.	あなたの努力は予期せぬ報酬をもたらすでしょう。	عملك الشاق سيجلب مكافآت غير متوقعة.	Ihre harte Arbeit wird unerwartete Belohnungen bringen.	Tu trabajo duro traerá recompensas inesperadas.	Votre travail acharné apportera des récompenses inattendues.	Seu trabalho duro trará recompensas inesperadas.	การทำงานหนักของคุณจะนำรางวัลที่ไม่คาดคิดมาให้	Sự chăm chỉ của bạn sẽ mang lại những phần thưởng bất ngờ.	你的努力會帶來意想不到的回報。
Your partner is a sharp intellectual who sparks deep conversations and challenges your perspective.	Your partner is a sharp intellectual who sparks deep conversations and challenges your perspective.	あなたのパートナーは、深い会話を引き起こし、あなたの視点に挑戦する鋭い知識人です。	شريكك مثقف حاد يثير محادثات عميقة ويتحدى وجهة نظرك.	Ihr Partner ist ein scharfer Intellektueller, der tiefgreifende Gespräche anregt und Ihre Perspektive herausfordert.	Tu pareja es un intelectual agudo que provoca conversaciones profundas y desafía tu perspectiva.	Votre partenaire est un intellectuel pointu qui suscite des conversations profondes et remet en question votre point de vue.	Seu parceiro é um intelectual perspicaz que desencadeia conversas profundas e desafia sua perspectiva.	คู่ของคุณเป็นนักปราชญ์ที่เฉียบแหลมซึ่งจุดประกายการสนทนาที่ลึกซึ้งและท้าทายมุมมองของคุณ	Đối tác của bạn là một trí thức nhạy bén, người khơi dậy những cuộc trò chuyện sâu sắc và thách thức quan điểm của bạn.	你的伴侶是一個敏銳的知識分子，他會引發深入的對話，挑戰你的觀點。
Unshakable good sleep	Unshakable good sleep	不動の良い眠り	نوم جيد لا يتزعزع	Unerschütterlich guter Schlaf	Buen sueño inquebrantable	Bon sommeil inébranlable	Inabalável bom sono	นอนหลับดีไม่สั่นคลอน	Giấc ngủ ngon không thể lay chuyển	不可動搖的好睡眠
Optimal physical fitness	Optimal physical fitness	最適な体力	اللياقة البدنية المثلى	Optimale körperliche Fitness	Aptitud física óptima	Une forme physique optimale	Aptidão física ideal	สมรรถภาพทางกายที่เหมาะสมที่สุด	Thể chất tối ưu	最佳體能
Stress-free mornings	Stress-free mornings	ストレスフリーな朝	صباحات خالية من الإجهاد	Stressfreie Morgen	Mañanas sin estrés	Des matins sans stress	Manhãs sem estresse	ตอนเช้าที่ปราศจากความเครียด	Buổi sáng không căng thẳng	無壓力的早晨
Consistent daily energy	Consistent daily energy	一定の毎日のエネルギー	طاقة يومية ثابتة	Konstante tägliche Energie	Energía diaria constante	Une énergie quotidienne constante	Energia diária consistente	พลังงานรายวันที่สม่ำเสมอ	Năng lượng hàng ngày nhất quán	持續的每日能量
Instant calm focus	Instant calm focus	インスタント落ち着いたフォーカス	التركيز الهدوء الفوري	Sofortiger ruhiger Fokus	Enfoque de calma instantánea	Focus calme instantané	Foco calmo instantâneo	โฟกัสสงบทันที	Tập trung bình tĩnh tức thì	瞬間冷靜專注
New York City, USA	New York City, USA	アメリカ合衆国ニューヨーク市	مدينة نيويورك ، الولايات المتحدة الأمريكية	New York City, USA	Nueva York, Estados Unidos	New York, États-Unis	Nova Iorque, EUA	นิวยอร์กซิตี้ สหรัฐอเมริกา	Thành phố New York, Hoa Kỳ	紐約市，USA
Paris, France	Paris, France	Paris,フランス	باريس ، فرنسا	Paris, Frankreich	París, Francia	Paris, France	Paris, França	ปารีส ฝรั่งเศส	Paris, Pháp	法國巴黎
Tokyo, Japan	Tokyo, Japan	東京,日本	طوكيو ، اليابان	Tokio, Japan	Tokio, Japón	Tokyo, Japon	Tóquio, Japão	โตเกียว ประเทศญี่ปุ่น	Tokyo, Nhật Bản	日本東京
London, UK	London, UK	イギリス、ロンドン	لندن ، المملكة المتحدة	London, Vereinigtes Königreich	Londres, Reino Unido	Londres, Royaume-Uni	Londres, Reino Unido	ลอนดอน สหราชอาณาจักร	Luân Đôn, Vương quốc Anh	倫敦，UK
Seoul, South Korea	Seoul, South Korea	ソウル,韓国	Seoul, كوريا الجنوبية	Seoul, Südkorea	Seúl, Corea del Sur	Séoul, Corée du Sud	Seul, Coreia do Sul	โซล เกาหลีใต้	Seoul, Hàn Quốc	首爾，韓國
Energy	Energy	エネルギー	الطاقة	Energie	Energía	Énergie	Energia	พลังงาน	Năng lượng	能源
Balance	Balance	バランス	التوازن	Gleichgewicht	Equilibrio	Balance	Equilíbrio	สมดุล	Cân bằng	平衡
Presence	Presence	プレゼンス	التواجد	Anwesenheit	Presencia	Présence	Presença	การมีอยู่	Sự hiện diện	存在
Rest	Rest	休む	راحة	Ruhe	Descansa	Repos	Descanse	พักผ่อน	Nghỉ ngơi	休息
Renewal	Renewal	リニューアル	التجديد	Erneuerung	Renovación	Renouvellement	Renovação	ต่ออายุ	Đổi mới	續約
This headline celebrates doing things the right way. You navigated complexities with unwavering ethics, showing that integrity is the foundation for lasting success. Your actions are a model of honesty and genuine goodwill.	This headline celebrates doing things the right way. You navigated complexities with unwavering ethics, showing that integrity is the foundation for lasting success. Your actions are a model of honesty and genuine goodwill.	この見出しは、物事を正しい方法で行うことを祝います。あなたは揺るぎない倫理観で複雑さをナビゲートし、誠実さが永続的な成功の基盤であることを示しています。あなたの行動は誠実さと本物の善意のモデルです。	يحتفل هذا العنوان بفعل الأشياء بالطريقة الصحيحة. لقد اجتازت التعقيدات بأخلاقيات لا تتزعزع ، وأظهرت أن النزاهة هي أساس النجاح الدائم. أفعالك هي نموذج للصدق وحسن النية الحقيقي.	Diese Schlagzeile zelebriert, Dinge auf die richtige Weise zu tun. Sie haben die Komplexität mit einer unerschütterlichen Ethik gemeistert und gezeigt, dass Integrität die Grundlage für dauerhaften Erfolg ist. Ihr Handeln ist ein Vorbild für Ehrlichkeit und echten guten Willen.	Este titular celebra hacer las cosas de la manera correcta. Navegaste por las complejidades con ética inquebrantable, mostrando que la integridad es la base del éxito duradero. Tus acciones son un modelo de honestidad y buena voluntad genuina.	Ce titre célèbre le fait de faire les choses de la bonne façon. Vous avez navigué dans les complexités avec une éthique inébranlable, montrant que l'intégrité est le fondement d'un succès durable. Vos actions sont un modèle d'honnêteté et de bonne volonté authentique.	Esta manchete celebra fazer as coisas da maneira certa. Você navegou pelas complexidades com uma ética inabalável, mostrando que a integridade é a base para o sucesso duradouro. Suas ações são um modelo de honestidade e boa vontade genuína.	พาดหัวข่าวนี้เฉลิมฉลองการทำสิ่งต่าง ๆ อย่างถูกวิธี คุณสำรวจความซับซ้อนด้วยจริยธรรมที่ไม่เปลี่ยนแปลงแสดงให้เห็นว่าความซื่อสัตย์เป็นรากฐานสำหรับความสำเร็จที่ยั่งยืน การกระทำของคุณเป็นแบบอย่างของความซื่อสัตย์และความปรารถนาดีอย่างแท้จริง	Tiêu đề này tôn vinh việc làm mọi thứ đúng cách. Bạn điều hướng sự phức tạp với đạo đức vững chắc, cho thấy rằng tính chính trực là nền tảng để thành công lâu dài. Hành động của bạn là một hình mẫu của sự trung thực và thiện chí thực sự.	這個標題慶祝以正確的方式做事。你以堅定不移的道德駕馭複雜性，表明正直是持久成功的基礎。你的行爲是誠實和真誠善意的典範。
The Pumpkin Spice Latte: You are highly seasonal, deeply beloved by basic crowds, and 80% whipped cream.	The Pumpkin Spice Latte: You are highly seasonal, deeply beloved by basic crowds, and 80% whipped cream.	パンプキンスパイスラテ:あなたは非常に季節的で、基本的な人々に深く愛されており、80%がホイップクリームです。	The Pumpkin Spice Latte: أنت موسمي للغاية ، ومحبوب للغاية من قبل الحشود الأساسية ، و 80 ٪ كريمة مخفوقة.	Der Pumpkin Spice Latte: Sie sind sehr saisonal, bei einfachen Leuten sehr beliebt und haben 80% Schlagsahne.	El Latte de Especias de Calabaza: Eres muy estacional, profundamente querido por multitudes básicas y 80% de crema batida.	Le Pumpkin Spice Latte : Vous êtes très saisonnier, profondément aimé des foules de base et de la crème fouettée à 80 %.	O Pumpkin Spice Latte: Você é altamente sazonal, profundamente amado por multidões básicas e 80% de chantilly.	ฟักทองเครื่องเทศลาเต้: คุณเป็นคนที่มีฤดูกาลสูง เป็นที่รักของฝูงชนขั้นพื้นฐาน และวิปครีม 80%	Pumpkin Spice Latte: Bạn rất theo mùa, được đám đông cơ bản yêu thích sâu sắc và 80% kem  bông.	南瓜香料拿鐵：你是高度季節性的，深受基本人羣的喜愛，80%是生奶油。
The person you least expected has secretly been protecting your heart.	The person you least expected has secretly been protecting your heart.	あなたが最も予想していなかった人が、密かにあなたの心を守っていました。	الشخص الذي لم تتوقعه كان يحمي قلبك سراً.	Die Person, die Sie am wenigsten erwartet haben, hat insgeheim Ihr Herz beschützt.	La persona que menos esperabas ha estado protegiendo secretamente tu corazón.	La personne à laquelle vous vous attendiez le moins a secrètement protégé votre cœur.	A pessoa que você menos esperava tem secretamente protegido seu coração.	คนที่คุณคาดหวังน้อยที่สุดได้ปกป้องหัวใจของคุณอย่างลับๆ	Người mà bạn ít mong đợi nhất đã bí mật bảo vệ trái tim của bạn.	那個你最意想不到的人，一直在暗中保護着你的心。
A stranger who knows nothing about you, but projects their bitterness anyway.	A stranger who knows nothing about you, but projects their bitterness anyway.	あなたについて何も知らない見知らぬ人ですが、それでも彼らの苦しみを投影します。	غريب لا يعرف شيئًا عنك ، لكنه يبرز مرارته على أي حال.	Ein Fremder, der nichts über Sie weiß, aber trotzdem seine Bitterkeit projiziert.	Un extraño que no sabe nada de ti, pero proyecta su amargura de todos modos.	Un étranger qui ne sait rien de vous, mais qui projette quand même son amertume.	Um estranho que não sabe nada sobre você, mas projeta sua amargura de qualquer maneira.	คนแปลกหน้าที่ไม่้อะไรเกี่ยวกับคุณ แต่ฉายความขมขื่นของพวกเขาต่อไป	Một người lạ không biết gì về bạn, nhưng dù sao cũng thể hiện sự cay đắng của họ.	一個對你一無所知的陌生人，卻投射出他們的痛苦。
Angel	Angel	エンジェル	ملاك	Engel	Ángel	Angel	Anjo	นางฟ้า	Thiên thần	天使
Scientists confirm this person can consistently fall asleep within 30 seconds of deciding to, a power previously thought impossible for modern adults.	Scientists confirm this person can consistently fall asleep within 30 seconds of deciding to, a power previously thought impossible for modern adults.	科学者たちは、この人が決定してから30秒以内に一貫して眠りに落ちることができることを確認しています。これは、現代の大人には不可能と考えられていた力です。	يؤكد العلماء أن هذا الشخص يمكن أن ينام باستمرار في غضون 30 ثانية من اتخاذ قراره ، وهي قوة كان يعتقد سابقًا أنها مستحيلة بالنسبة للبالغين المعاصرين.	Wissenschaftler bestätigen, dass diese Person innerhalb von 30 Sekunden nach der Entscheidung ständig einschlafen kann - eine Fähigkeit, die für moderne Erwachsene bisher als unmöglich galt.	Los científicos confirman que esta persona puede dormirse constantemente a los 30 segundos de decidir, un poder que antes se pensaba imposible para los adultos modernos.	Les scientifiques confirment que cette personne peut constamment s'endormir dans les 30 secondes suivant sa décision, un pouvoir que l'on pensait auparavant impossible pour les adultes modernes.	Os cientistas confirmam que essa pessoa pode adormecer consistentemente dentro de 30 segundos após decidir, um poder que antes era considerado impossível para os adultos modernos.	นักวิทยาศาสตร์ยืนยันว่าบุคคลนี้สามารถผล็อยหลับไปอย่างต่อเนื่องภายใน 30 วินาทีหลังจากตัดสินใจ ซึ่งเป็นพลังที่ก่อนหน้านี้คิดว่าเป็นไปไม่ได้สำหรับผู้ใหญ่สมัยใหม่	Các nhà khoa học xác nhận người này có thể liên tục ngủ trong vòng 30 giây sau khi quyết định, một sức  trước đây được cho là không thể đối với  hiện đại.	科學家證實，這個人可以在決定睡覺後30秒內持續入睡，這是以前認爲現代成年人不可能做到的。
Beware of illusions — something that shines may not be what it seems.	Beware of illusions — something that shines may not be what it seems.	幻想に注意してください-輝くものが見えるものと異なる場合があります。	احذر من الأوهام - فالشيء الذي يلمع قد لا يكون كما يبدو.	Hüten Sie sich vor Illusionen - etwas, das glänzt, ist vielleicht nicht was es scheint.	Cuidado con las ilusiones: algo que brilla puede no ser lo que parece.	Méfiez-vous des illusions - quelque chose qui brille peut ne pas être ce qu'il semble.	Cuidado com as ilusões algo que brilha pode não ser o que parece.	ระวังภาพลวงตา - สิ่งที่เปล่งประกายอาจไม่ใช่สิ่งที่ดูเหมือน	Cẩn thận với ảo tưởng - thứ gì đó tỏa sáng có thể không giống như vẻ ngoài của nó.	當心幻覺——發光的東西可能不是看起來的那樣。
The Raven’s Sight: you sense fate before it happens, guided by intuition sharper than reason.	The Raven’s Sight: you sense fate before it happens, guided by intuition sharper than reason.	レイヴンズ・サイト:理性よりも鋭い直感に導かれ、運命が起こる前にそれを感じる。	مشهد الغراب: تشعر بالقدر قبل حدوثه ، مسترشدًا بالحدس أكثر حدة من العقل.	The Raven 's Sight: Du spürst das Schicksal, bevor es passiert, geleitet von einer Intuition, die schärfer ist als die Vernunft.	La vista del cuervo: sientes el destino antes de que suceda, guiado por una intuición más aguda que la razón.	La vue du corbeau : vous sentez le destin avant qu'il n'arrive, guidé par une intuition plus tranchante que la raison.	A Visão do Corvo: você sente o destino antes que ele aconteça, guiado pela intuição mais aguda que a razão.	สายตาของกา: คุณสัมผัสได้ถึงโชคชะตาก่อนที่มันจะเกิดขึ้น นำโดยสัญชาตญาณที่คมชัดกว่าเหตุผล	The Raven 's Sight: bạn cảm nhận được số phận trước khi nó xảy ra, được hướng dẫn bởi trực giác sắc bén hơn lý trí.	烏鴉之眼：你在命運發生之前就感覺到它，被比理性更敏銳的直覺所引導。
Ghost’s Eternal Kiss	Ghost’s Eternal Kiss	幽霊の永遠のキス	قبلة الشبح الأبدية	Ewiger Kuss des Geistes	El Beso Eterno Del Fantasma	Le baiser éternel du fantôme	Beijo Eterno Do Fantasma	จูบนิรันดร์ของผี	Nụ hôn vĩnh cửu của ma	鬼魂的永恆之吻
I'm a Skeleton	I'm a Skeleton	私はスケルトン	أنا هيكل عظمي	Ich bin ein Skelett	Soy un Esqueleto	Je suis un squelette	Eu sou um esqueleto	ฉันเป็นโครงกระดูก	Tôi là một bộ xương	我是鋼架雪車
Caramel Apple:loyal and grounded, you seek simple joys and protect those you love fiercely.	Caramel Apple:loyal and grounded, you seek simple joys and protect those you love fiercely.	キャラメルアップル:忠実で地に足のついた、あなたはシンプルな喜びを求め、激しく愛する人々を守ります。	كراميل أبل: مخلص ومتأصل ، تبحث عن أفراح بسيطة وتحمي من تحبهم بشدة.	Karamell-Apfel: Sie sind loyal und geerdet, suchen einfache Freuden und beschützen diejenigen, die Sie heftig lieben.	Manzana de caramelo: leal y castigado, buscas alegrías sencillas y proteges ferozmente a los que amas.	Caramel Apple : loyal et ancré, vous recherchez des joies simples et protégez farouchement ceux que vous aimez.	Maçã Caramelo: leal e fundamentada, você busca alegrias simples e protege aqueles que ama ferozmente.	คาราเมลแอปเปิ้ล: ภักดีและมีเหตุผล คุณแสวงหาความสุขง่ายๆ และปกป้องคนที่คุณรักอย่างดุเดือด	Caramel Apple: trung thành và có căn cứ, bạn tìm kiếm những niềm vui đơn giản và bảo vệ những người bạn yêu thương một cách quyết liệt.	焦糖蘋果：忠誠而腳踏實地，你尋求簡單的快樂，保護你激烈愛的人。
Candy Curse:chaos ahead, yet your playful heart will laugh through every twist of fate.	Candy Curse:chaos ahead, yet your playful heart will laugh through every twist of fate.	キャンディカース:混沌が待ち受けていますが、あなたの遊び心は運命のあらゆる曲がり角を笑い飛ばします。	لعنة الحلوى: الفوضى المقبلة ، ولكن قلبك لعوب سوف تضحك من خلال كل تطور من مصير.	Candy Curse: Chaos steht bevor, doch dein verspieltes Herz wird durch jede Wendung des Schicksals lachen.	Candy Curse: caos por delante, pero tu corazón juguetón se reirá de cada giro del destino.	Candy Curse : chaos à venir, mais votre cœur ludique rira à chaque rebondissement du destin.	Candy Curse: caos à frente, mas seu coração brincalhão vai rir de cada reviravolta do destino.	คำสาปลูกกวาด: ความโกลาหลข้างหน้า แต่หัวใจขี้เล่นของคุณจะหัวเราะผ่านโชคชะตาทุกประเภท	Candy Curse: hỗn loạn phía trước, nhưng trái tim vui tươi của bạn sẽ cười qua từng khúc quanh của số phận.	糖果詛咒：前方一片混亂，然而你頑皮的心會嘲笑每一次命運的扭曲。
Love that survives fear is the truest kind.Dare to let someone see your shadow and your flame.	Love that survives fear is the truest kind.Dare to let someone see your shadow and your flame.	恐怖を乗り越える愛こそが真の愛です。誰かにあなたの影と炎を見せる勇気を持ってください。	الحب الذي ينجو من الخوف هو أصدق نوع ، تجرأ على السماح لشخص ما برؤية ظلك ولهبك.	Liebe, die die Angst überlebt, ist die wahrhaftigste Art. Wage es, jemanden deinen Schatten und deine Flamme sehen zu lassen.	El amor que sobrevive al miedo es el tipo más verdadero. Atrévete a dejar que alguien vea tu sombra y tu llama.	L'amour qui survit à la peur est le genre le plus vrai. Osez laisser quelqu'un voir votre ombre et votre flamme.	O amor que sobrevive ao medo é o tipo mais verdadeiro. Ouse deixar alguém ver sua sombra e sua chama.	ความรักที่รอดชีวิตจากความกลัวเป็นชนิดที่แท้จริง กล้าให้ใครเห็นเงาและเปลวไฟของคุณ	Tình yêu sống sót sau nỗi sợ hãi là loại chân thật nhất. Dám để ai đó nhìn thấy bóng tối và ngọn lửa của bạn.	戰勝恐懼的愛是最真實的。敢於讓別人看到你的影子和火焰。
MINDSET RESILIENCE	MINDSET RESILIENCE	マインドセットレジリエンス	عقلية المرونة	MINDSET-WIDERSTANDSFÄHIGKEIT	RESILIENCIA MENTAL	RÉSILIENCE MINDSET	RESILIÊNCIA MINDSET	ความยืดหยุ่นของ MINDSET	MINDSET RESILIENCE	心態韌性
A wave of calm washes over all major decisions, ensuring you choose the best path.	A wave of calm washes over all major decisions, ensuring you choose the best path.	すべての重要な決定に静けさの波が押し寄せ、あなたが最良の道を選ぶことを保証します。	موجة من الهدوء تغسل جميع القرارات الرئيسية ، مما يضمن لك اختيار أفضل مسار.	Eine Welle der Ruhe überzieht alle wichtigen Entscheidungen und stellt sicher, dass Sie den besten Weg wählen.	Una ola de calma impregna todas las decisiones importantes, asegurándote de elegir el mejor camino.	Une vague de calme envahit toutes les décisions importantes, vous assurant de choisir la meilleure voie.	Uma onda de calma passa por todas as principais decisões, garantindo que você escolha o melhor caminho.	คลื่นแห่งความสงบล้างเหนือการตัดสินใจที่สำคัญทั้งหมดเพื่อให้แน่ใจว่าคุณเลือกเส้นทางที่ดีที่สุด	Một làn sóng bình tĩnh rửa sạch tất cả các quyết định lớn, đảm bảo bạn chọn con đường tốt nhất.	一股平靜的浪潮沖刷着所有重大決定，確保你選擇最佳路徑。
A secret will come to light, surprising you.	A secret will come to light, surprising you.	あなたを驚かせる秘密が明らかになるでしょう。	سوف يأتي سر للضوء ، مفاجأة لك.	Ein Geheimnis wird ans Licht kommen und Sie überraschen.	Un secreto saldrá a la luz, sorprendiéndote.	Un secret va se révéler, vous surprendre.	Um segredo virá à tona, surpreendendo você.	ความลับจะปรากฏขึ้นทำให้คุณประหลาดใจ	Một bí mật sẽ được đưa ra ánh sáng, làm bạn ngạc nhiên.	一個祕密會曝光，讓你大喫一驚。
You will find the person whose presence is a source of effortless, calming warmth.	You will find the person whose presence is a source of effortless, calming warmth.	あなたは、存在が努力を必要とせず、落ち着いた暖かさの源である人を見つけるでしょう。	سوف تجد الشخص الذي يكون وجوده مصدرًا للدفء الهادئ والهادئ.	Sie werden die Person finden, deren Anwesenheit eine Quelle müheloser, beruhigender Wärme ist.	Encontrarás a la persona cuya presencia es una fuente de calor sin esfuerzo y calmante.	Vous trouverez la personne dont la présence est une source de chaleur apaisante et sans effort.	Você encontrará a pessoa cuja presença é uma fonte de calor calmante e sem esforço.	คุณจะพบคนที่มีสถานะเป็นแหล่งของความอบอุ่นที่สงบและง่ายดาย	Bạn sẽ tìm thấy người mà sự hiện diện của họ là nguồn ấm áp dễ dàng, êm dịu.	你會發現那個人的存在是毫不費力、平靜溫暖的源泉。
