类别,序号,模板原图,封面图,标签文案（英文）,主标题（英文）,副标题（英文）,hot,new,文案1,文案2,文案3,文案4,文案5
N,-8,female_test_daily91,cover_female_test_daily91,Entertainment,🎬 What Movie Is Your Life Like?,💿 Pick a CD for your life's soundtrack!,0,0,"Drive||||Silent roads, violent turns.","La La Land||||Love fades, dreams stay.","The Wolf of Wall Street||||Rise fast, fall harder.",Inception||||Nothing is ever just real.,"Gone Girl||||Beautiful mask, darker truth."
M,-8,male_test_daily67,cover_male_test_daily67,Entertainment,🛳️Would You Survive the Titanic?,Choose your seat on board.,0,0,You lived like royalty.,You made powerful friends.,You kept your head down.,You danced through chaos.,You were the iceberg.
F,-8,female_test_daily92,cover_female_test_daily92,Dress,👗 Test your dress today…💅,Tap your favorite accessory.,0,0,Elegant charm with a quiet confidence.,Power look for the ambitious mind.,Street smart with effortless cool.,Parisian vibes with timeless grace.,"Drama queen, but make it fashion."
Q,-8,male_test_daily68,cover_male_test_daily68,Entertainment,🔁 If You Could Restart Your Life...,What kind of life do you want to live?,0,0,"||||Rich, Again.",||||Cold but Brilliant.,||||Flirt with Goals.,"||||Hero, Lowkey.",||||Still Messy.
Q,-8,male_test_daily69,cover_male_test_daily69,Name,💞 How Strong Are Your Names Bond?,Enter your name to reveal fate.,0,0,||||Cosmic Soulmates,||||High Compatibility！,||||Potential Match,||||Temporary Orbit,||||No Signal
Q,-8,male_test_daily70,cover_male_test_daily70,AI,AI Calculated Your Past Life!,AI is calculating...,0,0,||||You were a fearless warrior.,||||You lived as a wandering poet.,||||You ruled a peaceful village.,||||You were a mischievous trickster.,||||You lived a mysterious life.
Q,-8,female_test_daily93,cover_female_test_daily93,Magic,🌈 What’s your vibe today?,A letter reveals your mood,0,0,||||Always On,||||Barely Breathing,||||Chill Queen,||||Drama Magnet,||||Existential Crisis
P,-8,male_test_daily71,cover_male_test_daily71,Sports,🏋️‍♀️ Your Name Reveals Your Fitness Power,A message from the universe,0,0,,,,,
J,-89,female_test_daily67,cover_female_test_daily67,Dress,💇‍♀️What's Your Hair Mood Today?,✨ Find your perfect hairstyle vibe!,1,0,Messy Bun,Curtain Bangs,Sleek Bob,Boho Waves,Crying in the Salon
G,-9,female_test_daily68,cover_female_test_daily68,Dress,💄What's Your Makeup Aura?, Pick your glam personality!,0,0,Dewy Glow,Bold Red Lip,Foxy Eyeliner,Soft Peach Blush,Mascara Tears at 3AM
G,-9,female_test_daily69,cover_female_test_daily69,Dress,Test Your Outfit Vibe Today……👗,✨ Let fashion choose for you!,0,0,Oversized Blazer,Cottagecore Dress,Monochrome Queen,Y2K Glitter Set,Pajamas
G,-9,female_test_daily70,cover_female_test_daily70,Dress,💅Which Nail Style Suits You Best?,✨ Find your fingertip soul!,0,0,French Tips,Chrome Cat Eye,Jelly Pink,Floral Art,Chewed Off in Stress
N,-9,female_test_daily71,cover_female_test_daily71,Plant,🌿What Kind of Plant Are You?,🪴Your leafy twin awaits!,0,0,Peace Lily||||Calm but dramatic drops,"Cactus Babe||||Low effort, high defense",Ivy Climber||||Always chasing sunlight,"Orchid Mood||||Gorgeous, but high-maintenance",Dead Fern||||Watered once. Still died.
N,-9,female_test_daily72,cover_female_test_daily72,Plant,💘What's Your Love Style as a Plant?,Let your roots reveal all!,0,0,"Aloe Healer||||Gentle, but guarded",Sunflower Heart||||Loyal to the sun,"Hanging Pothos||||Low-key, always there",Venus Flytrap||||Sweet... until it snaps,Plastic Plant||||Looks fine. Feels nothing.
N,-9,female_test_daily73,cover_female_test_daily73,Food,Test Your Foodie Personality…🍜,😋 Your cravings reveal your soul!,0,0,"Spicy Ramen||||Bold, never boring",Matcha Cake||||Soft but mysterious,"BBQ Ribs||||Loud, loyal vibes",Sushi Set||||Chill with quiet depth,"Leftover Fries||||Cold, forgotten, still here"
G,-9,female_test_daily74,cover_female_test_daily74,Food,🍧What Dessert Matches Your Love Life?,💘Your sweetness hides the truth!,0,0,Red Velvet,Caramel Pudding,Cotton Candy,Tiramisu Heart,Expired Pudding
N,-9,female_test_daily75,cover_female_test_daily75,Age,Can We Guess Your Age?💁‍♀️,Based on your vibe alone!,0,0,Gen Z Chaos||||Lives on iced coffee,Soft Millennial||||Crochets and cries,"Late 90s Kid||||Still says ""LOL""",Forever 25||||Skincare is personality,Mentally Retired||||Soul is 87
N,-9,female_test_daily76,cover_female_test_daily76,Personality,🦄Which Pony Matches Your Personality?,Your inner sparkle…,0,0,"Twilight Sparkle||||Smart, loves control","Pinkie Pie||||Chaos, but make it fun",Rarity Mood||||Glam with high standards,"Fluttershy Vibe||||Quiet, secretly powerful","Background Pony||||Present, but forgotten"
G,-9,female_test_daily77,cover_female_test_daily77,Travel,Where Should You Travel Next?,Your vibe picks the place!,0,0,Tokyo Streets,Santorini Sunset,Seoul Cafés,Morocco Bazaar,Your Couch
J,-9,female_test_daily78,cover_female_test_daily78,Wedding,💍Where Will You Get Married?,Your dream wedding starts here!,0,0,Beachside Vows,Gothic Castle,Garden Picnic,City Rooftop,Nowhere Yet
N,-9,female_test_daily79,cover_female_test_daily79,Love,A Love Story for YOU💌,A fairy tale written just for you,0,0,Runaway Kiss||||Met on a train. Missed his stop—kissed you instead.,Secret Letters||||Left notes in library books. Fell in love anonymously.,Rival to Lover||||Fought over everything… until you shared one umbrella.,Fleeting Summer||||Met by the sea. Never asked names. Still remembering.,Left on Read||||He disappeared. So I loved myself louder.
G,-9,female_test_daily80,cover_female_test_daily80,House,What's Your Future Home? 🔮🏠,Manifest your dream walls,0,0,City Penthouse,Forest Cabin,Seaside Villa,Glass House,Space Pod
G,-9,female_test_daily81,cover_female_test_daily81,Ride,Which Car Truly Deserves You? 👑🚘,Your Ride or Nothing,0,0,Sporty Convertible,Luxury SUV,Electric Hatchback,Retro Coupe,Custom Supercar
N,-9,female_test_daily82,cover_female_test_daily82,Magic,What Ancient Curse Haunts Your Soul?,Your fate was sealed long ago...,0,0,Snack Forever Curse||||You can't stop eating snacks. Even in your sleep.,Wrong-Song Curse||||You only sing the wrong song at the worst moment.,Frog Magnet Curse||||Frogs love you. A little too much.,WiFi Ban Curse||||Every router hides from you. Forever.,Dramatic Wind Curse||||A wind machine follows you. Even in the bathroom.
M,-11,female_test_daily83,cover_female_test_daily83,Magic,What Ridiculous Curse Follows You Around? 🔮,What Silly Curse Did You Accidentally Trigger?,0,1,Always Drops Snacks,Phone at 1%,Socks Never Match,Laughs at Funerals,Hair Reacts to Mood
G,-9,female_test_daily84,cover_female_test_daily84,Magic,🧙‍♀️What Type of Witch Are You?,Discover your magical vibe! ✨,0,0,Kitchen Witch,Green Witch,Sea Witch,Lunar Witch,Death Witch
G,-9,female_test_daily85,cover_female_test_daily85,Love,What's Your Secret Love Style?💋,"Flirty, fiery, or just forbidden? 🔥",0,0,Midnight Text Tease,Dangerous Game Player,Silent Seduction Expert,Forbidden Touch Seeker,Too Hot To Handle
G,-89,female_test_daily86,cover_female_test_daily86,Love,🔥Tap to Reveal Your Hidden Desire 😏,Tease or please? Find out now! 💋,1,0,Silent Touch,Burning Glance,Whispered Secrets,Forbidden Kiss,Electric Pulse
G,-10,female_test_daily107,cover_female_test_daily107,plant,Test This: Your Garden Soul Will Shock You 😂🌷,Find out which bloom reflects your vibe.,0,0,English Rose Manor,Zen Moss Retreat,French Herb Kitchen,Wild Urban Jungle,Plastic Lawn Queen
L,-10,female_test_daily108,cover_female_test_daily108,dress,💗Whose Bag Gets Your Charm? 🔗💼,A charm reveals a choice.,0,0,Ink-Stained Poet,Leather Glove Tease,Friend-Zoned Crush,Mystery First Arriver,No One.
G,-10,female_test_daily109,cover_female_test_daily109,dress,Test Your Perfect Denim Fit 👖✨,Perfect Denim can change everything.,0,0,90s Straight Cut,Baggy Low Rise,Dark Wash Slim,Frayed Hem Flare,Micro Denim Skirt
N,-89,female_test_daily110,cover_female_test_daily110,entertainment,If You Were the Drama Heroine，Which Guy Would You Woo? 💕,"Pick your target, and let the story begin.",1,0,Cold CEO||||A ruthless boss who melts only for you.,Bad Boy Rebel||||A rebel hiding a tender heart.,Sweet Neighbor||||The caring next-door guy watching over you.,Mysterious Stranger||||A stranger who flips your world upside down.,Your Friendssss||||You bad girl.
L,-89,female_test_daily111,cover_female_test_daily111,dress,What's Your Broccoli Hair Energy? 🥦✂️,One cut. Infinite vibes.,1,0,Soft Fluff Boy,Trend-Core Prince,Shy Barista Cut,Hypeboy Max Volume,"Still a Bowlcut, Bro"
M,-10,female_test_daily112,cover_female_test_daily112,love,What Age Will You Meet Your True Love? 💘📆,Your soulmate has a calendar. Let's check the date.,0,0,22:Young and intense.,28:Mature but exciting.,31:Late but worth it.,"35:Finally, the real deal.",Never:You are your own soulmate.
M,-10,female_test_daily113,cover_female_test_daily113,love,What's Written on Your Soulmate's Tattoo? 🔥🖋️,Clue: It might be your name. Or your secret.,0,0,Your initials,A phrase only you understand.,A date you'll never forget.,A matching symbol.,Their ex's name... oops.
M,-10,female_test_daily94,cover_female_test_daily94,parenting,What Will Be the First Letter of Your Child's Name?👼,Destiny starts with a letter. Let's reveal it.,0,1,A:Ambitious and bold.,L:Loving and loyal.,M:Mysterious charm.,S:Star in the making.,Z:Just... chaos.
N,-10,female_test_daily95,cover_female_test_daily95,love,Universe know how many times you'll deeply fall in love. 💓,Real love hurts. But how many times will it hit you?,0,0,Once||||One and done.,"Twice||||One to forget, one to remember.",Three||||The rule of threes.,"Four||||You fall hard, often.",Zero||||You only date for snacks.
G,-10,female_test_daily96,cover_female_test_daily96,life,Where Will You Live in Your 40s? 🌆🏝️,Your energy matches a city. Let's find it.,0,0,Ultra-Modern High-Rise,Historic Romance District,Beachside Chill Life,A quiet village,"Nowhere Fancy, But Feels Right"
N,-10,female_test_daily97,cover_female_test_daily97,life,Who Will Be Jealous of You in 10 Years? 👀🍷,Their envy says more about your glow-up than their downfall.,0,0,Your ex||||Clearly missed out.,A frenemy||||Should've been you.,Old classmates||||Glow-up alert.,Your boss||||You passed them.,Yourself||||For not starting sooner.
N,-10,female_test_daily98,cover_female_test_daily98,love,How Many People Are Secretly in Love With You? 😳❤️‍🔥,You'd be surprised how many hearts are hiding it.,0,0,One||||But they're intense.,Two||||Playing it cool.,Three||||Love triangle? Try square.,Four+||||You're the main character.,None||||But your cat loves you.
H,-95,female_test_daily99,cover_female_test_daily99,life,How Will Your Enemies Describe You? 💅,Not fans… but still obsessed.,1,0,Too confident for no reason.,Dangerously charming.,Always five steps ahead.,"The moment, unfortunately.",Woke up and chose drama.
G,-10,female_test_daily100,cover_female_test_daily100,hobby,🎵 What's On Your Life Playlist?,Every moment deserves its own theme song.,0,0,Melancholy Jazz,Bedroom Pop,Angry Rap,Indie Folk,Chaotic EDM
N,-10,female_test_daily101,cover_female_test_daily101,hobby,Your Scent Personality Awaits… 🌸✨,Find the perfume that speaks your soul.,0,0,"Soft Florals||||gentle, romantic, quietly confident.","Spicy Woods||||bold, mysterious, unforgettable.","Fruity Pop||||playful, sweet, a little chaotic.","Clean Musks||||fresh, elegant, lowkey rich.",Familiar smell||||Smells like…your ex's hoodie.
O,-10,female_test_daily102,cover_female_test_daily102,hobby,Tap the Picture to Test Your Travel DNA 🧳🌍,Where your soul goes when you pack light.,0,0,Culture Explorer,Beach Bum,Thrill Seeker,Wellness Nomad,Gets lost in airport duty free.
N,-100,female_test_daily103,cover_female_test_daily103,Personality,Test Your Emotional Beverage 🥤,What are you really sipping today?,1,0,"Matcha||||calm on the outside, chaos within.","Iced Americano||||cold, bitter, reliable.","Boba Milk Tea||||sweet, dramatic, needs attention.",Red Wine||||overthinking in a glass.,Tap water||||Boredddddd!
M,-10,female_test_daily105,cover_female_test_daily105,life,What's Your Secret Source of Comfort 💗,"When life feels heavy, where does your heart go?",0,0,A warm bath and no phone.,That one friend who gets you.,"Music, loud and sad.","A late-night walk, alone.",Online shopping cart.
O,-10,female_test_daily106,cover_female_test_daily106,love,🔥 What Can't You Let Go Of?,Some obsessions are too delicious to forget.,0,0,Their late-night texts.,That one forbidden kiss.,How they looked at you like that.,"The ""what if"" you never dared ask.",The way you lost control—and liked it.
G,-11,male_test_daily72,cover_male_test_daily72,life,What's Your Stress Level Right Now?,Discover how tense or relaxed you really are...,0,0,10%||||Calm & Collected,20%||||Slightly Stressed,50%||||Overwhelmed,80%||||On Edge,0%||||Ate All Snacks
K,-11,male_test_daily73,cover_male_test_daily73,parenting,What Kind of Dad Are You?,Find out your dad style and how you handle family life...,0,0,Fun & Playful,Strict & Organized,Supportive Mentor,Laid-Back Dad,Snack Hoarder
M,-11,male_test_daily74,cover_male_test_daily74,life,Who Do You Regret Missing the Most? 💔,Find out whose absence still lingers in your heart...,0,0,High School Crush,Childhood Friend,A Neighbor,College Mentor,Your Happier Self
L,-11,male_test_daily75,cover_male_test_daily75,life,Which Health Habit Should You Adopt? 💪,Discover the simple change that could improve your life...,0,0,Morning Jog,Drink More Water,Eat More Veggies,Stretch Daily,Nap Anytime
N,-11,male_test_daily76,cover_male_test_daily76,life,Which Classic Car Matches Your Personality?,Find out which vintage ride represents your true self...,0,0,Mustang||||Bold & adventurous,VW Beetle||||Fun & quirky,Porsche 911||||Fast & ambitious,Cadillac Eldorado||||Classic & stylish,Golf Cart||||Easy ride
N,-11,male_test_daily77,cover_male_test_daily77,entertainment,Which '80s Icon Are You?,Discover which legendary figure matches your personality...,0,0,Madonna||||Bold & daring,Michael Jackson||||Smooth & cool,Princess Diana||||Graceful & kind,David Bowie||||Unique & edgy,Rubik's Cube||||Classic challenge
I,-11,male_test_daily78,cover_male_test_daily78,life,What Will You Encounter on Firstlast Day？,Predict your first-day vibes...,0,0,New Best Friend,Strict Teacher,Lost in Hallways,Unexpected Crush,Tripped on Stairs
M,-11,male_test_daily79,cover_male_test_daily79,personality,Your Secret Romantic Side,Discover the side of you that only love reveals...,0,0,Candlelight Dinners,Love Notes,Surprise Getaways,Quiet Cuddles,Pizza Delivery
L,-11,male_test_daily80,cover_male_test_daily80,life,Who's Thinking About You?,The Answer May Surprise You...,0,0,Secret Admirer,Close Friend,Family Member,Your Destiny,Your Cat
G,-11,male_test_daily81,cover_male_test_daily81,entertainment,If You Were a Magical Creature…,Discover your hidden mystical identity…,0,0,Dragon,Elf,Unicorn,Phoenix,House Cat
G,-11,male_test_daily82,cover_male_test_daily82,entertainment,"Don't Laugh, This Is Your Secret 🤭",Your quirkiest habit is finally exposed…,0,0,Sweet Tooth,Midnight Snacker,Daydreamer,Secret Dancer,Sock Hoarder
M,-11,male_test_daily83,cover_male_test_daily83,friend,Which Friend Would You Be in 10 Years?,Predict your future friendship style and vibe…,0,0,The Supportive One,The Fun Planner,The Wise Advisor,The Chill Listener,The Ghost Friend
M,-11,male_test_daily84,cover_male_test_daily84,life,The Thing You'll Regret Most…,The little mistakes you’ll laugh about later…,0,0,Forgot Mom's Birthday,Ate Spoiled Milk,Texted Ex at 2AM,Missed Concert Tickets,Burned Toast
M,-11,male_test_daily85,cover_male_test_daily85,life,What Do You Need to Let Go?,Your next step starts with release…,0,0,Toxic Friendship，Stop arguing,"Old Job, Move on","Bad Habit, Eat less","Past Mistake, Forgive self","Unfinished Netflix Series, Chill anyway"
M,-11,male_test_daily86,cover_male_test_daily86,love,Have You Really Forgotten Her? 💔,Find out if she still lingers in your heart…,0,0,Still Thinking,Occasionally Miss,Fully Moved On,Hard to Say,Forgot Lunch
J,-11,male_test_daily87,cover_male_test_daily87,life,What Will Your Rush Experience Be Like? 🎉,Find out how your first campus event will unfold…,0,0,Instant Friendships,Dance Party,Secret Challenges,Late-Night Talks,Spilled Drink
I,-11,male_test_daily88,cover_male_test_daily88,life,What's Your Keyword for September?,Discover the vibe that will define your month…,0,0,Travel,Love yourself,Work,Concert,Leave
M,-94,male_test_daily89,cover_male_test_daily89,love,Your Love Life in 2026 ❤️,Find out what the year has in store for your heart…,1,0,New Romance,Casual Dating,Single & Happy,Complicated,Love differently
L,-11,male_test_daily90,cover_male_test_daily90,life,What Are You Doing at 69?,Peek into your golden years…,0,0,Traveling the World,Gardening,Writing a Memoir,Teaching Grandkids,Gaming All Day
N,-11,male_test_daily91,cover_male_test_daily91,entertainment,You in the '60s…,Discover your groovy past life…,0,0,Flower Child||||Peace & love,Rock Star||||Music life,Beat Poet||||Words matter,Hippie Traveler||||Free spirit,Disco Fan||||Too early
N,-11,male_test_daily92,cover_male_test_daily92,daily,Childhood You VS Grown-Up You,Spot the change in your vibe,0,0,Childhood:Candy for dinner||||Adulthood:Bills for dinner,Childhood:Dreaming of castles||||Adulthood:Stuck in traffic,Childhood:Drawing superheroes||||Adulthood:Emailing bosses,Childhood:Naps = punishment||||Adulthood:Naps = luxury,"Childhood:""I'll never grow up!""||||Adulthood:""Why did I grow up?"""
O,-11,male_test_daily93,cover_male_test_daily93,emotion,Are You Truly Happy?,Let‘s check your inner smile,0,0,"Yes, you feel complete","Mostly, with small doubts","Sometimes, not every day","Rarely, but I keep trying","Happy outside, broken inside"
M,-11,male_test_daily94,cover_male_test_daily94,daily,What‘s Your September Keyword?,"A new month, a new vibe",0,0,Fresh Start,Hidden Luck,Bold Dreams,Silent Growth,Sweet Chaos
L,-90,male_test_daily95,cover_male_test_daily95,emotion,Where Does Your Heart Want to Return?,The place your soul misses most,1,0,Childhood backyard swing,Grandma’s warm kitchen,Carefree summer beach,First love corner,The moment before pain
O,-11,male_test_daily96,cover_male_test_daily96,personality,What Does Your Heart Desire Most?,Find the truth within,0,0,Endless love,Quiet freedom,True recognition,Steady peace,Escape from reality
U,-11,male_test_daily97,cover_male_test_daily97,emotion,What‘s Your Deepest Regret?,A truth you can’t escape,0,0,"Once, you fell in love, full of joy. But that love made you complacent. You exhausted his patience and tolerance, until you finally lost him forever.","You chose comfort and fun when you needed to work and study most. When an opportunity finally arrived, you found yourself lacking the skills to seize it.","You held onto your feelings for someone, keeping your love hidden inside. When the day came for you to leave forever, you still couldn't say the words, ""I love you,"" or ""thank you.""","You poured your heart out to a good friend, treating them with complete sincerity. But they betrayed you, and you trusted the wrong person.","You always care too much about how others see you, hoping to be liked by them. But all these years, you’ve forgotten the one thing that matters most — to truly love yourself."
G,-11,male_test_daily98,cover_male_test_daily98,daily,"Actually, You Are a Tree…",Discover your soul species,0,0,You are a gentle willow,You are a fiery maple,You are a lonely pine,You are a blooming cherry,You are a broken stump
M,-11,male_test_daily99,cover_male_test_daily99,daily,What Luck Awaits You This September?,Your fortune is on the way,0,0,Unexpected gift,Sweet romance,Career breakthrough,Hidden money,Peace of mind
M,-11,male_test_daily100,cover_male_test_daily100,daily,Are You Truly Successful?,Let’s measure your life score,0,0,Reached your goals,Still chasing dreams,Learning from failures,"Balancing work, life",Owning inner peace
M,-11,male_test_daily101,cover_male_test_daily101,daily,Will Your Wish Come True?,Let fate give you the answer,0,0,"Yes, very soon","Not yet, be patient",Only if you try,"Maybe, keep believing",Different wish will come
U,-11,male_test_daily102,cover_male_test_daily102,daily,A Message from Heaven…,Words your soul needs now,0,0,"I know you are in the darkness, feeling lonely and lost. But please, hold on. You must believe — the light will surely shine upon you.","If you are suffering right now, please don’t lose heart, don’t be anxious, because every pain will only make you stronger.","Please remember, there is always someone who loves you — whether in life or in heaven. You will always be worthy of love.","If you still hold dreams and faith in your heart, then go ahead and pursue them boldly. There’s no need to care about the judgment of the world — your love for life is what makes you truly valuable.","Perhaps you are facing an unsatisfying life all on your own right now, but please remember, you will never be alone — I am with you. Stay strong."
O,-11,male_test_daily103,cover_male_test_daily103,daily,What Should You Do Right Now?,Let destiny guide your next step,0,0,Take a deep breath,Call someone you love,Finish that small task,Trust your own pace,Smile
O,-11,male_test_daily104,cover_male_test_daily104,daily,If You Could Go Back 10 Years…,One choice could change it all,0,0,Study much harder,Confess your love,Take that chance,Accompany your family,Go where you want to go
L,-96,male_test_daily105,cover_male_test_daily105,love,Does She Still Love You?,The answer your heart fears,1,0,"Yes, with all heart","A little, not enough","No, she moved on","Unsure, she hides it",She loves herself more
L,-89,male_test_daily106,cover_male_test_daily106,love,Does He Still Remember You?,"Memory fades, but not always",1,0,"Yes, every single detail",Only in his dreams,"Faintly, like old songs","No, he let go","Yes, but wrong name"
M,-11,male_test_daily107,cover_male_test_daily107,daily,Are You Truly Lonely?,A mirror for your soul,0,0,"Yes, every silent night","Sometimes, not always","Surrounded, yet lonely","No, heart feels warm",Lonely? Just need pizza
M,-11,male_test_daily108,cover_male_test_daily108,parenting,What Will Your Child Be Like?,A glimpse into their future,0,0,Kind and gentle heart,Brave with big dreams,Smart yet mischievous,Independent and strong,Totally different from you
I,-11,male_test_daily109,cover_male_test_daily109,parenting,What Kind of Parent Are You?,Your parenting style revealed,0,0,Strict but caring,Fun and playful,Overprotective always,Calm and patient,Best friend parent
O,-11,male_test_daily110,cover_male_test_daily110,daily,Blessings from Heaven,Words of light for your soul,0,0,May love surround you,Peace fills your heart,Strength walks beside you,Hope never leaves you,Angels guard your path
G,-11,male_test_daily111,cover_male_test_daily111,daily,What Pet Suits You Best?,Find your perfect friend,0,0,Loyal dog companion,Independent cool cat,Talkative little parrot,Quiet gentle rabbit,Mysterious pet snake
V,-11,male_test_daily139,cover_male_test_daily139,Personality,Touch the Mirror and Find Your True Self.,A Reflection of Your Inner World.,0,1,"You possess a quiet strength that carries you through every storm, lighting the path for others. Your resilience is deep, and the love you pour into your actions is your greatest legacy.","You navigate the world with soulful grace and unwavering generosity. Every challenge is met with honest effort, rooted in your dedication to forging a joyful future for your dearest loved ones.","Your boundless compassion and commitment to excellence show in every detail you touch. Despite a difficult road, you tirelessly strive forward, motivated to lift up the lives of those who rely on you.","With an inner light that never dims, you are an anchor of hope and stability. You tackle demanding situations with wisdom, driven by the profound purpose of providing comfort and happiness to your loved ones.","Your empathy creates a safe harbor, and your persistent spirit overcomes every obstacle. You know the true meaning of sacrifice, constantly pushing your boundaries to ensure a life of greater opportunity for the precious people in your heart."
W,-11,male_test_daily140,cover_male_test_daily140,daily,Tap the Window to See the Future's Revelation.,You Opened the View,0,1,Your greatest challenge will become your most valuable asset.,A surprising connection is the key to unlocking your next major goal.,"The clarity you seek is found only in stillness, not action.",Next season will bring the courage you need to finally begin.,You will realize that 'enough' has always been greater than 'more.'
X,-11,male_test_daily141,cover_male_test_daily141,daily,What Are the Red and Green Flags in Your Life?,Discover the Fuller You,0,1,Constant self-doubt|||||Consistent learning habits|||||Avoids difficult tasks|||||Seeks constructive feedback|||||Zero work-life boundaries,Fears vulnerability|||||Reliable communication|||||Always runs late|||||Actively listens first|||||Holds long grudges,Impulse spending habits|||||Clear future vision|||||Never tracks finances|||||Always meets deadlines|||||Easily distracted,Chronic overthinking|||||Prioritizes deep rest|||||Skips self-care|||||Maintains firm boundaries|||||Negative self-talk,Resists all change|||||Adapts to setbacks|||||Needsconstant validation|||||Naturally curious mind|||||Excessive perfectionism
L,-11,male_test_interactive1,cover_male_test_interactive1,nostalgic,Test how much your hometown has changed.,See the changes in your hometown from 1970 to 2025.,0,0,,,,,
L,-11,male_test_interactive6,cover_male_test_interactive6,story,📖 Your Life Record Revealed,"From birthplace to legacy, see your full story.",0,0,,,,,
N,-11,male_test_interactive11,cover_male_test_interactive11,match,✨ How Well Do You Know 70s Stars?,Match the icons with their legendary roles!,0,0,0 point||||Totally Lost in the Disco Fog,1 point||||Rookie of the 70s,2 point||||Retro Enthusiast,3 point||||Almost a 70s Insider,4 point||||True 70s Superstar
W,-1,male_test_daily132,cover_male_test_daily132,daily,Touch the Pumpkin Lantern: What Future Awaits Inside?,Each flicker of its light whispers a secret about your destiny.,0,0,A path of fortune lights up before you — success is closer than you think.,"A stranger will cross your path, bringing both mystery and a spark of love.",Darkness fades — a long-kept wish will finally begin to take shape.,Beware of illusions — something that shines may not be what it seems.,"The flame trembles… chaos awaits, but through it, you’ll find your true power."
V,-1,male_test_daily133,cover_male_test_daily133,daily,"On Halloween Night, What Power of Fate Will You Summon?",A hidden force answers your call…,0,0,"The Flame of Rebirth: from every ending you rise again, burning brighter each time life tries to break you.","The Shadow’s Whisper: you see what others hide, reading truth in silence and power in the unseen.","The Moon’s Blessing: your emotions become your magic, turning love, pain, and longing into creation.","The Raven’s Sight: you sense fate before it happens, guided by intuition sharper than reason.","The Storm Within: chaos surrounds you, but you command it, turning every wild moment into strength."
L,-1,male_test_daily134,cover_male_test_daily134,daily,Halloween Kiss Test: Will You Kiss a Prince or a Monster?,"Sweet, dark, or dangerously magical…",0,0,Moonlit Prince’s Kiss,Vampire’s Burning Kiss,Witch’s Forbidden Kiss,Ghost’s Eternal Kiss,Monster’s Wild Kiss
G,-1,male_test_daily135,cover_male_test_daily135,daily,Which Character Will You Be on Halloween?,You will be the center of attention.,0,0,I’m a Witch,I’m a Vampire,I’m a Zombie,I’m a Skeleton,I’m a Ghost
W,-1,male_test_daily136,cover_male_test_daily136,daily,Pick a Candy to Reveal Your Hidden Personality!,Sweetness hides many truths…,0,0,"Candy Corn:cheerful and nostalgic, you treasure memories and always find light in the past.","Pumpkin Lollipop:creative and a little dramatic, you love attention but give warmth in return.","Chocolate Skull:bold and mysterious, you hide passion behind calm eyes and a fearless smile.","Caramel Apple:loyal and grounded, you seek simple joys and protect those you love fiercely.","Witch’s Toffee:clever, mischievous, and unpredictable, you turn chaos into charm wherever you go."
W,-1,male_test_daily137,cover_male_test_daily137,daily,Your Halloween Luck: Trick or Treat?,Will they bless you with fortune or play a wicked little trick?,0,0,Golden Pumpkin Luck:fortune smiles on you; every risk brings unexpected rewards this week.,"Haunted Fortune:luck comes and goes, but your charm keeps turning mishaps into magic.",Witch’s Trick:beware of temptation; not everything sweet is meant for you.,"Candy Curse:chaos ahead, yet your playful heart will laugh through every twist of fate.","Moon’s Blessing:calm energy surrounds you; peace, clarity, and small miracles follow your path."
U,-1,male_test_daily138,cover_male_test_daily138,daily,What Is the Spirit of Halloween Trying to Tell You?,The spirit whispers a truth your heart already knows.,0,0,Don’t fear endings. Every shadow hides a new beginning waiting for your courage to step forward.,"You’ve carried too much light for others; now, let the darkness teach you how to rest.",The ghosts of your past don’t haunt you.They guide you toward who you’re meant to become.,Love that survives fear is the truest kind.Dare to let someone see your shadow and your flame.,"You are both the curse and the blessing.Once you accept that, the world will bend toward your will."
A,-115,female_Spanish_daily1,cover_female_Spanish_daily1,daily,Haz clic en el botón para revelar tu revelación fantasmal~  ,¿Quién te encontrará primero…?,0,1,,,,,
M,-114,female_Spanish_daily2,cover_female_Spanish_daily2,daily,¿Qué tipo de bendición le daría Dios a tu corazón?,La luz de la Virgen revela tu destino.,0,1,,,,,
A,-116,female_Spanish_daily4,cover_female_Spanish_daily4,love,Toca la imagen para ver cómo eres en el amor.,"¿Estás liderando, siguiendo o perdido en el ritmo?",0,1,,,,,
I,-118,female_Spanish_daily5,cover_female_Spanish_daily5,entertainment,Toca el trofeo y descubre qué premio ganarías. 😂,Tu vibra decide tu premio.,0,1,,,,,
H,-120,female_Spanish_daily6,cover_female_Spanish_daily6,entertainment,¿Qué tan dramátic@ eres realmente?,Descubre si tu vida pertenece a un escenario o a una telenovela.,0,1,,,,,
K,-113,female_Spanish_daily7,cover_female_Spanish_daily7,entertainment,😂 Si fueras un asado en la parrilla…,¿Qué serías tú?,0,1,,,,,
A,-119,female_Spanish_daily8,cover_female_Spanish_daily8,love,Elige una belleza para descubrir tu estilo de amor.😏,¿Qué estilo de amor describe el tuyo?,0,1,,,,,
W,-112,female_Spanish_daily9,cover_female_Spanish_daily9,personality,Toca el café para descubrir tu personalidad en el trabajo.,Tu elección de café revela cómo sobrevives en la jungla de la oficina.,0,1,,,,,
V,-115,female_Spanish_daily10,cover_female_Spanish_daily10,personality,¿Qué lugar es el hogar de tu alma?,Sigue tu corazón — sabe dónde realmente perteneces.,0,1,,,,,
